participant,session,code,time,baseline,baseline type,ROI,power
3.0,2.0,m_03_02,2023-07-24 11:04:44,1,baseline_eo,right hemisphere,0.0750661352110953
3.0,2.0,m_03_02,2023-07-24 11:04:44,1,baseline_ec,"left central, occipital parietal",0.04458478905903293
3.0,2.0,m_03_02,2023-07-24 11:04:44,1,baseline_ec,"right central, occipital parietal",0.07361557598073115
3.0,2.0,m_03_02,2023-07-24 11:04:44,1,baseline_ec,left hemisphere,0.059044173022956246
3.0,2.0,m_03_02,2023-07-24 11:04:44,1,baseline_ec,right hemisphere,0.08131515798111455
3.0,1.0,m_03_01,2023-07-24 13:56:06,1,baseline_eo,"left central, occipital parietal",0.0491800726795743
3.0,1.0,m_03_01,2023-07-24 13:56:06,1,baseline_eo,"right central, occipital parietal",0.046877923094878024
3.0,1.0,m_03_01,2023-07-24 13:56:06,1,baseline_eo,left hemisphere,0.05223202514620961
3.0,1.0,m_03_01,2023-07-24 13:56:06,1,baseline_eo,right hemisphere,0.04735731000128475
3.0,1.0,m_03_01,2023-07-24 13:56:06,1,baseline_ec,"left central, occipital parietal",0.02114135028538643
3.0,1.0,m_03_01,2023-07-24 13:56:06,1,baseline_ec,"right central, occipital parietal",0.055015397738836694
3.0,1.0,m_03_01,2023-07-24 13:56:06,1,baseline_ec,left hemisphere,0.0250317317994696
3.0,1.0,m_03_01,2023-07-24 13:56:06,1,baseline_ec,right hemisphere,0.058208075633494845
4.0,1.0,m_04_01,2023-07-24 16:46:36,1,baseline_eo,"left central, occipital parietal",0.029060013098713942
4.0,1.0,m_04_01,2023-07-24 16:46:36,1,baseline_eo,"right central, occipital parietal",0.00873342199085254
4.0,1.0,m_04_01,2023-07-24 16:46:36,1,baseline_eo,left hemisphere,0.02653534233241137
4.0,1.0,m_04_01,2023-07-24 16:46:36,1,baseline_eo,right hemisphere,0.006886640257547728
4.0,1.0,m_04_01,2023-07-24 16:46:36,1,baseline_ec,"left central, occipital parietal",0.07717251014305371
4.0,1.0,m_04_01,2023-07-24 16:46:36,1,baseline_ec,"right central, occipital parietal",0.02977932934962626
4.0,1.0,m_04_01,2023-07-24 16:46:36,1,baseline_ec,left hemisphere,0.08081161116834179
4.0,1.0,m_04_01,2023-07-24 16:46:36,1,baseline_ec,right hemisphere,0.024635894102292968
4.0,2.0,m_04_02,2023-07-24 16:47:22,1,baseline_eo,"left central, occipital parietal",0.06183015773398718
4.0,2.0,m_04_02,2023-07-24 16:47:22,1,baseline_eo,"right central, occipital parietal",0.07252099938930714
4.0,2.0,m_04_02,2023-07-24 16:47:22,1,baseline_eo,left hemisphere,0.055599552063766655
4.0,2.0,m_04_02,2023-07-24 16:47:22,1,baseline_eo,right hemisphere,0.06896162626382316
4.0,2.0,m_04_02,2023-07-24 16:47:22,1,baseline_ec,"left central, occipital parietal",0.0233632053960334
4.0,2.0,m_04_02,2023-07-24 16:47:22,1,baseline_ec,"right central, occipital parietal",0.03020600246161264
4.0,2.0,m_04_02,2023-07-24 16:47:22,1,baseline_ec,left hemisphere,0.022805587323953047
4.0,2.0,m_04_02,2023-07-24 16:47:22,1,baseline_ec,right hemisphere,0.030762407862162503
5.0,2.0,m_05_02,2023-07-24 15:05:50,1,baseline_eo,"left central, occipital parietal",0.03726661289003674
5.0,2.0,m_05_02,2023-07-24 15:05:50,1,baseline_eo,"right central, occipital parietal",0.03491565265883075
5.0,2.0,m_05_02,2023-07-24 15:05:50,1,baseline_eo,left hemisphere,0.03488625705380861
5.0,2.0,m_05_02,2023-07-24 15:05:50,1,baseline_eo,right hemisphere,0.03566718257883738
5.0,2.0,m_05_02,2023-07-24 15:05:50,1,baseline_ec,"left central, occipital parietal",0.04107590013111055
5.0,2.0,m_05_02,2023-07-24 15:05:50,1,baseline_ec,"right central, occipital parietal",0.01061941292181612
5.0,2.0,m_05_02,2023-07-24 15:05:50,1,baseline_ec,left hemisphere,0.04114262608342549
5.0,2.0,m_05_02,2023-07-24 15:05:50,1,baseline_ec,right hemisphere,0.007087565432816046
5.0,1.0,m_05_01,2023-07-24 15:31:52,1,baseline_eo,"left central, occipital parietal",0.04374841093141134
5.0,1.0,m_05_01,2023-07-24 15:31:52,1,baseline_eo,"right central, occipital parietal",0.03132976842019203
5.0,1.0,m_05_01,2023-07-24 15:31:52,1,baseline_eo,left hemisphere,0.04676756178219011
5.0,1.0,m_05_01,2023-07-24 15:31:52,1,baseline_eo,right hemisphere,0.030833543926486122
